sport_key,league_name,season,fixture_id,date,home,away,home_id,away_id,status,goals_home,goals_away,result
soccer_germany_bundesliga,Bundesliga,2024,1224217,2025-03-29 14:30:00+00:00,Holstein Kiel,Werder Bremen,191,162,FT,0,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224212,2025-03-29 17:30:00+00:00,Eintracht Frankfurt,VfB Stuttgart,169,172,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224214,2025-03-30 13:30:00+00:00,SC Freiburg,Union Berlin,160,182,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224211,2025-03-30 15:30:00+00:00,Borussia Dortmund,FSV Mainz 05,165,164,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224222,2025-04-04 18:30:00+00:00,FC Augsburg,Bayern München,170,157,FT,1,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224221,2025-04-05 13:30:00+00:00,SC Freiburg,Borussia Dortmund,160,165,FT,1,4,A
soccer_germany_bundesliga,Bundesliga,2024,1224223,2025-04-05 13:30:00+00:00,FSV Mainz 05,Holstein Kiel,164,191,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224218,2025-04-05 13:30:00+00:00,RB Leipzig,1899 Hoffenheim,173,167,FT,3,1,H
soccer_germany_bundesliga,Bundesliga,2024,1224225,2025-04-05 13:30:00+00:00,VfL Bochum,VfB Stuttgart,176,172,FT,0,4,A
soccer_germany_bundesliga,Bundesliga,2024,1224219,2025-04-05 13:30:00+00:00,1. FC Heidenheim,Bayer Leverkusen,180,168,FT,0,1,A
soccer_germany_bundesliga,Bundesliga,2024,1224220,2025-04-05 16:30:00+00:00,Werder Bremen,Eintracht Frankfurt,162,169,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224226,2025-04-06 13:30:00+00:00,FC St. Pauli,Borussia Mönchengladbach,186,163,FT,1,1,D
soccer_germany_bundesliga,Bundesliga,2024,1224224,2025-04-06 15:30:00+00:00,Union Berlin,VfL Wolfsburg,182,161,FT,1,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224232,2025-04-11 18:30:00+00:00,VfL Wolfsburg,RB Leipzig,161,173,FT,2,3,A
soccer_germany_bundesliga,Bundesliga,2024,1224233,2025-04-12 13:30:00+00:00,Borussia Mönchengladbach,SC Freiburg,163,160,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224231,2025-04-12 13:30:00+00:00,1899 Hoffenheim,FSV Mainz 05,167,164,FT,2,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224227,2025-04-12 13:30:00+00:00,Bayer Leverkusen,Union Berlin,168,182,FT,0,0,D
soccer_germany_bundesliga,Bundesliga,2024,1224234,2025-04-12 13:30:00+00:00,VfL Bochum,FC Augsburg,176,170,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224235,2025-04-12 13:30:00+00:00,Holstein Kiel,FC St. Pauli,191,186,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224229,2025-04-12 16:30:00+00:00,Bayern München,Borussia Dortmund,157,165,FT,2,2,D
soccer_germany_bundesliga,Bundesliga,2024,1224228,2025-04-13 13:30:00+00:00,VfB Stuttgart,Werder Bremen,172,162,FT,1,2,A
soccer_germany_bundesliga,Bundesliga,2024,1224230,2025-04-13 15:30:00+00:00,Eintracht Frankfurt,1. FC Heidenheim,169,180,FT,3,0,H
soccer_germany_bundesliga,Bundesliga,2024,1224240,2025-04-19 13:30:00+00:00,SC Freiburg,1899 Hoffenheim,160,167,FT,3,2,H
